t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.202378046034728,331.952012269348,-0.000609660548978741,0.690595544351553,30.0939660324242,48.8237486187564,-44.5448100395792,4.27893857917714,0.014184423921406,0.0433161482641357,42.2627089088403,0.994173615619847,0.110085255168155,0.0163405413940964,0.0432752125126674,400.054800761699,22.1565492960994,0.0548007616986297,41.3087224483338,38.2282628016106,44.5060379480654,0,0.426985419715948,-0.0436115991810103,345,20,0.862704672702261,0,20,0,0,7005.5721117034,6900,0.984930265505791,0.000374336098810213,-0.129145954089552,0.241998154470025,0.108871583480877,0.265171845175317,0.706710714293227,0,0,-0.00757616016331164,0.171094712516787,0.0156480460511807,-2.31620646216174,-0.0432096019680195,0,-6.362060546875,-5.62481689453125,-2.52130126953125,-7.6031494140625,-5.62017822265625,0,0,0,0,0,0,0,0,0,0,0.3087158203125,-0.05303955078125,0.129302978515625,0.07275390625,0.10791015625,0,0,0,0,0,0,0.1,0,-0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
0.62,-0.018727932674675,331.573666537297,-5.64819663462882e-05,0.247222884010946,30.2899820212412,46.7511790799275,-49.2719336525079,-2.52075457258045,0.00360504233791508,0.0399149519328945,42.5543702776137,0.994184533279454,0.109310743539065,0.00580957684012543,0.0307280801682199,400.069977717688,22.0605139362748,0.0699777176876069,41.1516991609775,38.1293607728897,44.3310645104925,0,0.429038640195846,-0.0425186876197319,345,20,0.862671182239412,0,20,0,0,7049.55704465073,6900,0.978784901845115,0.000373451177428485,-0.128840656212844,0.0151769559889772,-0.157023287356282,0.196015988816967,-0.443372660340606,0,0,-0.0061453636606762,0.0623545251023068,0.00570911822514155,-0.549833225365025,0.00954721558296406,0,-4.80743408203125,-5.65533447265625,-3.2935791015625,-6.88372802734375,-6.8314208984375,0,0,0,0,0,0,0,0,0,0,-0.072509765625,-0.4510498046875,-0.206390380859375,-0.22454833984375,-0.4710693359375,0,0,0,0,0,0,0.1,-0,-0,-0,-0,-0,0,0,1,334.554722602279,0,0
0.64,-0.035107309829251,331.549998095035,-0.000105888433210571,-0.0274691978318401,30.8937710187179,48.2039628846262,-48.3621548738819,-0.158191989255727,0.00363634436745398,0.0596488228433269,43.3955365039539,0.9944583062777,0.110665950573454,-0.000632995926420619,0.026763200447947,399.884603775365,22.0030827724127,-0.115396224634821,41.2160003711522,38.1163472970899,44.4421536926023,0,0.446045660850451,-0.0250915663522593,345,20,0.863071644419138,0,20,0,0,7188.71511566082,6900,0.959837730245862,0.000374094371883738,-0.129062558299893,-0.185373942322428,0.0643012101746336,0.603788997476709,-0.274692081842786,0,0,-0.0189471715992533,0.0883274893632343,0.00808370928842272,1.62325101460929,-0.0121516245041511,0,-8.14019775390625,-7.890869140625,-5.7843017578125,-9.35858154296875,-8.09393310546875,0,0,0,0,0,0,0,0,0,0,-0.12646484375,-0.517578125,0.385589599609375,-0.03717041015625,-0.089111328125,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.801126146243,0,0
0.66,-0.0125129431910646,331.621108550297,-3.77326499081008e-05,0.0652212880223754,29.9405008084222,46.2814177813684,-49.4935833177251,-3.21216553635669,0.00882427660028859,0.0312643401631205,42.0979813715646,0.994736852540985,0.102529411533339,0.00154927352565246,0.0297663877233663,400.059596208432,22.0693869325731,0.0595962084319126,41.2691938902095,38.1712963707172,44.4726248995112,0,0.426363226308438,-0.0450858166456101,345,20,0.862694784112964,0,20,0,0,6974.13909202623,6900,0.989369427387676,0.00037486082131255,-0.129326983352826,0.174992433066734,0.0531935190573876,-0.95327021029577,0.0926904858542155,0,0,0.0295316971418148,0.14250832044149,0.0130241375140822,-2.28413818979484,-0.0124228344345522,0,-6.85076904296875,-7.2432861328125,-3.947021484375,-8.85321044921875,-7.27581787109375,0,0,0,0,0,0,0,0,0,0,0.1173095703125,-0.42333984375,0.212066650390625,-0.07781982421875,-0.2435302734375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,333.861069058934,0,0
0.68,0.0684976212666211,331.288309045524,0.000206761359807625,0.129569905493337,30.5709698205237,48.0730205613474,-44.9473684507836,3.12565211056382,0.0135462543952699,0.0528480754352872,42.9523935598934,0.994512598148748,0.107984549658153,0.00301659336662259,0.0261188140204807,399.995390997291,21.942716679918,-0.00460900270934417,41.1522265265044,38.1383563350081,44.3007389061508,0,0.427394801865717,-0.0446204297401435,345,20,0.862829146058893,0,20,0,0,7109.39317946351,6900,0.97054696875278,0.000370091715029996,-0.127681641685342,-0.0642052111412568,-0.116967363705143,0.630469012101539,0.0643486174709616,0,0,-0.0188224586348961,0.0750507637761074,0.00690354964604571,1.00426671829216,-0.0161763167724245,0,-8.03857421875,-6.9761962890625,-4.9107666015625,-9.47882080078125,-7.5322265625,0,0,0,0,0,0,0,0,0,0,-0.17724609375,-0.34014892578125,0.187774658203125,-0.095947265625,-0.2149658203125,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.000694622009,0,0
0.7,-0.0705370872770227,331.524162719022,-0.000212766052098608,0.334109024606875,30.167198200094,49.5266719425987,-46.6553324376616,2.87133950493704,0.00554692307733463,0.0453103952506826,42.4060328965537,0.994866689031223,0.102308214950928,0.00787880878699284,0.0274325162079609,399.863564885339,21.9435676212865,-0.136435114660571,41.3211147830899,38.2152463026581,44.5459724200374,0,0.446361419248021,-0.0248077747532072,345,20,0.863117836294566,0,20,0,0,7023.76829772495,6900,0.982378647404267,0.000374999817002619,-0.129374936865872,-0.131826111951227,0.168888256585497,-0.403771620429694,0.204539119113538,0,0,0.0118316786514862,0.0389620709045045,0.00356182231767584,2.16989554991863,0.00881557933795063,0,-6.90045166015625,-7.00457763671875,-5.6461181640625,-8.4517822265625,-6.5906982421875,0,0,0,0,0,0,0,0,0,0,-0.08331298828125,-0.4154052734375,0.186370849609375,-0.04559326171875,-0.0584716796875,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,332.247966092086,0,0
0.72,-0.11736556959161,331.572072813034,-0.000353966993045852,6.28300158278147,13.4030033888917,31.8340575834056,-28.1241507589119,3.70990682449368,0.653835889297742,0.238951213663028,13.0543411093983,0.827591378252021,0.580235336442098,0.481295955891492,0.060540259842524,434.380050351718,36.3036030477571,34.3800503517176,10.8229861450403,-25.4052972253959,38.4511660400691,0.35,0.301810384237604,-0.213910854369967,355.184807983732,0.3696159674649,0.767397765797667,1,0.0808544144998601,10,20,2159.70676661082,133.006652411383,0.0615855145095032,-0.0614962333573305,21.8425278367462,34.5164854663781,-30.4981286380496,-16.7641948112023,5.9488925581746,10.1848079837325,-19.6303840325351,-0.920793132894763,17.8985125040867,2.22359311712844,-2.01141044426888,0.189601938065644,0,0.4990234375,-3.839111328125,-7.0166015625,1.8338623046875,-7.0421142578125,0,0,0,0,0,0,0,0,0,0,-0.30499267578125,-2.2117919921875,-1.00119018554688,-0.022216796875,-0.87249755859375,0,0,0,0,0,0,0.1,-0,-0,-0,-0,-0,0,0,0,332.80136090914,0,0
0.74,-0.0533570406425928,331.616797636741,-0.000160899692123078,0.00187882522709752,0.17498540000098,1.4133704741587,-1.65654771367774,-0.243177239519038,0.137985228763916,1.00537411151919,0.0271250742330865,-0.00544199653751944,285.558328297889,0.0692652566017965,-1.52828708961188,445.876455167216,0.0671065740466474,45.876455167216,-62.291406690846,-98.7910213275499,-25.7724699297162,1,0.399307768170476,-0.127151545859435,355,0,0.748169093009802,1,0,0,0,0.193341750993739,0,0,-0.0603070899806152,21.4090169431184,11.4964048154984,-73.1143928358863,-13.2280179888907,-6.28112275755437,-0.184807983732469,-0.3696159674649,-0.0615855145095032,0.0227104032112278,0.227104032112278,0.579792750748898,0.0463113810801074,0,-3.864013671875,-4.00494384765625,-3.3167724609375,2.1568603515625,-2.77618408203125,0,0,0,0,0,0,0,0,0,0,-0.7225341796875,0.27117919921875,0.130462646484375,0.82568359375,-0.2578125,0,0,0,1,0,0,0.1,-0,0,0,0.82568359375,-0,0,0,0,335.859758848876,0,0
0.76,0.0030210544554123,331.695913549045,9.10790375162581e-06,-0.00431622143798695,0.0952339131460742,0.587368090530445,-1.08060112527803,-0.493233034747582,0.874911786231586,1.00277704405067,0.00986174923120084,-0.00274255255018592,742.452341007253,-0.437673006765492,-1.53173563802917,445.804319973657,0.0725017873760407,45.804319973657,-99.9928642445262,-100,-99.1576541688555,1,0.484278364047248,-0.0418521032470297,355,0,0.748297923081033,1,0,0,0,0.0841975653191714,0,0,-0.060297333135662,21.40555326316,-0.0721351935589496,-37.7014575536802,-0.079751486854906,-0.00619504666508447,0,0,0,0.0232282887024642,0.232282887024642,0.619361364895487,-0.00356746396870961,0,-4.2183837890625,-3.36175537109375,-4.475341796875,2.66455078125,-5.8153076171875,0,0,0,0,0,0,0,0,0,0,-0.55963134765625,-0.64361572265625,0.694122314453125,0.9683837890625,-0.1810302734375,0,0,0,1,0,0,0.1,-0,-0,0,0.9683837890625,-0,0,0,0,334.661573991395,0,0
0.78,0.0579307419328181,331.604544558986,0.000174698275048861,0.00556698309182024,0.0831075970589816,0.96055301791113,-0.383870092252354,0.576682925658776,1.45191789456735,1.00257501068159,0.00766481046897779,-0.00297264752480916,850.861520518898,0.726304076839446,-1.52514374554927,445.731225481517,0.0727295197820581,45.7312254815167,-100,-100,-100,1,0.48143512326477,-0.0450159436081869,355,0,0.74842850880192,1,0,0,0,0.0679880695554782,0,0,-0.0602874467222987,21.402043586416,-0.0730944921402852,-0.00713575547379719,-0.0121263160870926,0.00988320452980719,0,0,0,0.023221843241143,0.23221843241143,0.623429701554128,0.00287024652953921,0,-4.8424072265625,-3.09735107421875,-3.78717041015625,2.62066650390625,-6.0223388671875,0,0,0,0,0,0,0,0,0,0,-0.51849365234375,-0.885498046875,0.738739013671875,0.93414306640625,0.07562255859375,0,0,0,1,0,0,0.1,-0,-0,0,0.93414306640625,0,0,0,0,335.267230176745,0,0
